Character,Gender,TitleOrClass,Role
سردارنی (سردار گور دیال سنگھ کی بیوی),Female,Sardar’s Wife,Support
کاکاجی,Male,Old Kin / Uncle,Minor
جیونی فقیرنی,Female,Female Faqir,Minor
بابا لوہار,Male,Old Blacksmith,Minor
کھیتو چوہڑا,Male,Outcaste / Sweeper,Minor
نیتی چوہڑی,Female,Chuhra Woman,Minor
کرم دین,Male,Refugee Villager,Minor
کھبا فقیر,Male,Sufi Beggar,Minor
شاموں,Female,Refugee Woman,Minor
ماندری,Female,Refugee Woman,Minor
مولوی جی (بارش کی دعا),Male,Cleric / Imam,Minor
دولو پیکر,Male,Packed-Goods Peddler,Minor
باگی کمھار,Male,Potter,Minor
باگی کمھار کی گدھی,Female,Animal (Donkey),Minor
سلیمان (کسان),Male,Farmer,Support
رسولاں,Female,Farmer’s Wife,Support
شبیر,Male,Farmer’s Son,Support
رضیہ,Female,Farmer’s Daughter,Support
چوہدری صاحب (کتے والا),Male,Chaudhry / Dog Owner,Minor
عبدو ترکھان,Male,Carpenter,Minor
شاہ مہاتر,Male,Barber / Hajjam,Minor
مدھری,Female,Showwoman / Performer,Minor
رنگ ماسٹر (ہاتھی والا),Male,Circus Ringmaster,Minor
غفورے ڈرائیور,Male,Truck Driver,Support
تاباں,Female,Young Woman / Ghafore’s Love Interest,Protagonist
غفورے کی ماں,Female,Mother,Support
ڈاکٹر ترلوک سنگھ,Male,Doctor,Minor
تھانیدار,Male,Police Inspector,Minor
نحال چند,Male,Shopkeeper / Hindu Trader,Support
دارو,Female,Nihal Chand’s Wife,Support
نحال چند کی دھی,Female,Trader’s Daughter,Minor
پا ولیائی,Female,Old Village Woman,Minor
صغراں (پا ولیائی کی دھی),Female,Village Girl,Minor
