book_id,edges_path,author
38,SNA_CSVs&NodeFeatures\MustansarHussainTarar\Jipsy\Jipsy_edges_w0.csv,MustansarHussainTarar
39,SNA_CSVs&NodeFeatures\MustansarHussainTarar\KhasOKhashaakZamany\KhasOKhashaakZamany_edges_w0.csv,MustansarHussainTarar
40,SNA_CSVs&NodeFeatures\MustansarHussainTarar\Moorat\Moorat_edges_w0.csv,MustansarHussainTarar
41,SNA_CSVs&NodeFeatures\MustansarHussainTarar\pyarKaPehlaShehr\pyarKaPehlaShehr_edges_w0.csv,MustansarHussainTarar
42,SNA_CSVs&NodeFeatures\MustansarHussainTarar\QilaJungee\QilaJungee_edges_w0.csv,MustansarHussainTarar
43,SNA_CSVs&NodeFeatures\MustansarHussainTarar\QurbatEMargMeinMohabbat\QurbatEMargMeinMohabbat_edges_w0.csv,MustansarHussainTarar
44,SNA_CSVs&NodeFeatures\MustansarHussainTarar\raakh\raakh_edges_w0.csv,MustansarHussainTarar
45,SNA_CSVs&NodeFeatures\MustansarHussainTarar\siyahAnkhMainTasveer\siyahAnkhMainTasveer_edges_w0.csv,MustansarHussainTarar
46,SNA_CSVs&NodeFeatures\MirzaHadiRuswa\AfshaERaaz\AfshaERaaz_edges_w0.csv,MirzaHadiRuswa
47,SNA_CSVs&NodeFeatures\MirzaHadiRuswa\AkhtariBegum\AkhtariBegum_edges_w0.csv,MirzaHadiRuswa
48,SNA_CSVs&NodeFeatures\MirzaHadiRuswa\LailaMajnoon\LailaMajnoon_edges_w0.csv,MirzaHadiRuswa
49,SNA_CSVs&NodeFeatures\MirzaHadiRuswa\ShareefZada\ShareefZada_edges_w0.csv,MirzaHadiRuswa
50,SNA_CSVs&NodeFeatures\MirzaHadiRuswa\UmraoJan\UmraoJan_edges_w0.csv,MirzaHadiRuswa
51,SNA_CSVs&NodeFeatures\MirzaHadiRuswa\ZaatEShareef\ZaatEShareef_edges_w0.csv,MirzaHadiRuswa
