Character_A,Character_B,Weight,Pages(centers),Pairs(pa:pb)
"جمال افروز انصاری","شوکت محمود",41,"4 6 8 11 12 27 28 29 30 32 35 36 37 38 49 50 51 52 54 55 56 57 58 59 60 62 63 64 72 74 75 76","5:4 5:7 9:7 9:13 10:13 12:13 30:25 30:26 30:27 30:28 30:29 30:31 34:31 34:36 35:36 36:36 37:36 37:38 38:38 39:38 48:51 49:51 52:51 52:52 57:52 57:54 57:55 57:58 58:58 59:58 59:59 61:59 61:60 61:64 62:64 63:64 64:64 73:71 73:76 74:76 77:76"
"جمال افروز انصاری","محمود",2,"29 72","30:29 73:72"
"جمال افروز انصاری","نعیم",2,"66 71","64:69 73:69"
"جمال افروز انصاری","پروفیسر شریف",6,"49 50 51 53 55 56","48:51 49:51 52:51 52:54 57:54 57:55"
"جمال افروز انصاری","کریم بھائی",2,"27 28","30:25 30:26"
"جمال افروز انصاری","گڈو",27,"3 6 8 9 47 48 49 50 51 52 54 58 59 60 62 63 72 73 75 77","5:2 5:8 9:8 9:9 10:9 48:47 48:48 49:48 49:49 52:49 52:50 52:52 57:52 57:60 58:60 59:60 61:60 61:63 62:63 63:63 64:63 73:71 73:73 74:73 74:77 77:77 78:77"
"جمیلہ","ریاض احمد زبیری",15,"19 20 23 24 25 26 28 29 53 54 55","21:17 21:20 21:26 22:26 24:26 25:26 26:26 27:26 27:29 29:29 55:51 55:52 55:53 55:54 55:55"
"جمیلہ","سلیم",11,"21 22 23 24 25 26","21:21 22:21 22:22 24:22 24:23 24:24 25:24 25:25 26:25 26:26 27:26"
"جمیلہ","شوکت محمود",23,"18 19 20 21 22 23 24 25 26 27 28 29 53 54 55","21:16 21:17 21:18 21:19 21:21 22:21 22:22 24:22 24:23 24:24 25:24 25:25 26:25 26:26 27:26 27:27 29:27 29:28 29:29 55:51 55:52 55:54 55:55"
"جمیلہ","محمود",7,"21 26 27 28 29","21:21 22:21 24:29 25:29 26:29 27:29 29:29"
"جمیلہ","پروفیسر شریف",3,"53 54 55","55:51 55:54 55:55"
"جمیلہ","کریم بھائی",11,"21 22 23 24 25 26","21:21 22:21 22:22 24:22 24:23 24:24 25:24 25:25 26:25 26:26 27:26"
"جمیلہ","گڈو",6,"19 20 52 53 57","21:18 21:19 21:20 55:50 55:52 55:60"
"ریاض احمد زبیری","سلیم",9,"19 20 23 24 25 26 27","17:21 20:21 26:21 26:22 26:23 26:24 26:25 26:26 29:26"
"ریاض احمد زبیری","شوکت محمود",62,"5 7 10 11 15 16 17 18 19 20 23 24 25 26 27 28 29 30 31 34 35 36 37 38 39 49 50 51 52 53 54 55 57 58 59 60 62 63 64 71 72 74 75 76","7:4 7:7 8:7 8:13 9:13 10:13 17:13 17:15 17:16 17:17 20:17 20:18 20:19 20:21 26:21 26:22 26:23 26:24 26:25 26:26 29:26 29:27 29:28 29:29 30:29 30:31 31:31 32:31 32:36 33:36 35:36 36:36 37:36 37:38 38:38 40:38 48:51 49:51 51:51 52:51 52:52 53:52 53:54 54:54 55:54 55:55 59:55 59:58 59:59 60:59 60:60 61:60 61:64 62:64 63:64 64:64 71:71 73:71 73:76 75:76 76:76 77:76"
"ریاض احمد زبیری","محمود",8,"19 20 23 27 29 71 72","17:21 20:21 26:21 26:29 29:29 30:29 71:72 73:72"
"ریاض احمد زبیری","نعیم",2,"66 70","64:69 71:69"
"ریاض احمد زبیری","پروفیسر شریف",10,"49 50 51 53 54 55 57","48:51 49:51 51:51 52:51 52:54 53:54 54:54 55:54 55:55 59:55"
"ریاض احمد زبیری","کریم بھائی",9,"19 20 23 24 25 26 27","17:21 20:21 26:21 26:22 26:23 26:24 26:25 26:26 29:26"
"ریاض احمد زبیری","گڈو",35,"4 7 8 9 17 19 20 47 48 49 50 51 52 57 59 60 62 63 71 72 73 74 76 77","7:2 7:8 8:8 9:8 9:9 10:9 17:18 20:18 20:19 20:20 48:47 48:48 49:48 49:49 51:49 51:50 51:52 52:52 53:52 55:60 59:60 60:60 61:60 61:63 62:63 63:63 64:63 71:71 73:71 73:73 75:73 75:77 76:77 77:77 78:77"
"سلیم","شوکت محمود",15,"18 19 20 21 22 23 24 25 26","21:16 21:17 21:18 21:19 21:21 22:21 22:22 23:22 23:23 24:23 24:24 25:24 25:25 26:25 26:26"
"سلیم","محمود",5,"21 26 27","21:21 22:21 24:29 25:29 26:29"
"سلیم","کریم بھائی",11,"21 22 23 24 25 26","21:21 22:21 22:22 23:22 23:23 24:23 24:24 25:24 25:25 26:25 26:26"
"سلیم","گڈو",3,"19 20","21:18 21:19 21:20"
"شوکت محمود","محمود",15,"18 19 20 21 26 27 28 29 30 71 74","16:21 17:21 18:21 19:21 21:21 22:21 24:29 25:29 26:29 27:29 28:29 29:29 31:29 71:72 76:72"
"شوکت محمود","نعیم",2,"66 70","64:69 71:69"
"شوکت محمود","پروفیسر شریف",7,"51 53 54 55 56","51:51 52:51 52:54 54:54 55:54 55:55 58:55"
"شوکت محمود","کریم بھائی",16,"18 19 20 21 22 23 24 25 26","16:21 17:21 18:21 19:21 21:21 22:21 22:22 23:22 23:23 24:23 24:24 25:24 25:25 26:25 26:26 27:26"
"شوکت محمود","گڈو",31,"3 6 7 10 11 15 16 17 18 19 20 49 50 51 52 53 57 59 60 62 63 71 73 74 76","4:2 4:8 7:8 13:8 13:9 13:18 15:18 16:18 17:18 18:18 19:18 19:19 21:19 21:20 51:47 51:48 51:49 51:50 51:52 52:52 54:52 55:60 58:60 59:60 60:60 64:60 64:63 71:71 76:71 76:73 76:77"
"محمود","نعیم",4,"70 90 92","72:69 91:90 91:93 92:93"
"محمود","کریم بھائی",4,"21 26 27","21:21 29:24 29:25 29:26"
"محمود","گڈو",5,"19 20 71 72","21:18 21:19 21:20 72:71 72:73"
"نعیم","گڈو",1,"70","69:71"
"پروفیسر شریف","گڈو",7,"49 50 51 53 57","51:47 51:48 51:49 51:50 51:52 54:52 55:60"
"کریم بھائی","گڈو",3,"19 20","21:18 21:19 21:20"
